"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__columns__c","LLC_BI__defaultOwner__c","LLC_BI__docManager__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","LLC_BI__sortOrder__c","LLC_BI__status__c"
"a0W5e000000VGsbEAG","0055e000003ZErQAAW","","Relationship","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","statusIcon;name;docType;status;owner;priority;date;exceptionDate;comment","","a0V5e000000ZpyJEAS","","TA-Relatio0219197","1",""
"a0W5e000000VGscEAG","0055e000003ZErQAAW","","Loan","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","statusIcon;name;docType;firstReview;status;owner;priority;date;exceptionDate;comment","","a0V5e000000ZpyIEAS","","TA-Loan0683876925","1",""
"a0W5e000000VGsdEAG","0055e000003ZErQAAW","","Relationship","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","statusIcon;name;docType;firstReview;status;owner;priority;date;exceptionDate;comment","","a0V5e000000ZpyIEAS","","TA-Relatio0770172","2",""
"a0W5e000000VGseEAG","0055e000003ZErQAAW","","Construction","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","a0V5e000000ZpyMEAS","","298037408792345075234","",""
