"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Attorney__c","LLC_BI__ExpansionLh__c","LLC_BI__ExpansionRe__c","LLC_BI__RefinanceLh__c","LLC_BI__RefinanceRe__c","LLC_BI__Start_upLh__c","LLC_BI__Start_upRe__c","LLC_BI__acquisitionLh__c","LLC_BI__acquisitionRe__c","LLC_BI__clientView__c","LLC_BI__comments__c","LLC_BI__docClass__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__docType__c","LLC_BI__dueDaysPrior__c","LLC_BI__firstReview__c","LLC_BI__lookupKey__c","LLC_BI__naOk__c","LLC_BI__onesToWatch__c","LLC_BI__owner__c","LLC_BI__sortOrder__c","LLC_BI__Portal_Doc_Description__c","LLC_BI__Portal_Doc_Name__c","LLC_BI__Portal_Enabled__c","NDOC__description__c","NDOC__neededByStage__c","NDOC__priority__c","LLC_BI__Approval_Roles__c","LLC_BI__Viewer_Roles__c","LLC_BI__Criteria__c","NDOC__Placeholder_Approval_Roles__c","NDOC__Placeholder_Viewer_Roles__c","LLC_BI__Auto_Esign__c","LLC_BI__Placeholder_Viewer_Groups__c","LLC_BI__Placeholder_Viewer_Profiles__c","LLC_BI__Requirement__c","LLC_BI__Document_Id_Mapping__c","LLC_BI__E_Vault__c"
"a0H5e000001sApWEAU","0055e000003ZErQAAW","","Personal Financial Statement","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8XEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApWEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Individual""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApXEAU","0055e000003ZErQAAW","","Drivers Licence","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8YEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d4EAA","","false","a0H5e000001sApXEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Individual""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApYEAU","0055e000003ZErQAAW","","Treasury Services Agreement","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8ZEAS","a0V5e000000ZpyLEAS","","a0X5e000000a0d5EAA","","false","a0H5e000001sApYEAU","false","false","","","","","false","","","","","","","","","false","","","","","false"
"a0H5e000001sApZEAU","0055e000003ZErQAAW","","Loan Application","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8aEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0d6EAA","","false","a0H5e000001sApZEAU","false","false","","","","","false","","","","","","","","","false","","","","","false"
"a0H5e000001sApaEAE","0055e000003ZErQAAW","","Employee Loan Disclosure","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8eEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0d8EAA","","false","a0H5e000001sApaEAE","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Employee_Loan__c"" IS=""True""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApbEAE","0055e000003ZErQAAW","","Reg O Loan Disclosure","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8fEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0d8EAA","","false","a0H5e000001sApbEAE","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Reg_O_Loan__c"" IS=""True""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApcEAE","0055e000003ZErQAAW","","Power of Attorney","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8hEAC","a0V5e000000ZpyNEAS","","a0X5e000000a0dAEAQ","","false","a0H5e000001sApcEAE","false","false","","","","","false","","","","","","","","","false","","","","","false"
"a0H5e000001sApdEAE","0055e000003ZErQAAW","","Collateral Valuation","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8iEAC","a0V5e000000ZpyNEAS","","a0X5e000000a0dAEAQ","","false","a0H5e000001sApdEAE","false","false","","","","","false","","","","","","","","","false","","","","","false"
"a0H5e000001sApeEAE","0055e000003ZErQAAW","","Survey","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8jEAC","a0V5e000000ZpyNEAS","","a0X5e000000a0dBEAQ","","false","a0H5e000001sApeEAE","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.Name"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApfEAE","0055e000003ZErQAAW","","UCC Valuation","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8kEAC","a0V5e000000ZpyNEAS","","a0X5e000000a0dCEAQ","","false","a0H5e000001sApfEAE","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.LLC_BI__Type__c"" IS=""UCC""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApgEAE","0055e000003ZErQAAW","","VIN","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8lEAC","a0V5e000000ZpyNEAS","","a0X5e000000a0dDEAQ","","false","a0H5e000001sApgEAE","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.Name"" IS=""Titled""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sAphEAE","0055e000003ZErQAAW","","Title","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8mEAC","a0V5e000000ZpyNEAS","","a0X5e000000a0dDEAQ","","false","a0H5e000001sAphEAE","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.Name"" IS=""Titled""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApiEAE","0055e000003ZErQAAW","","Commercial Security Agreement","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8nEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0dEEAQ","","false","a0H5e000001sApiEAE","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" IS=""Commercial""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApjEAE","0055e000003ZErQAAW","","Commercial Pledge Agreement","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8oEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0dEEAQ","","false","a0H5e000001sApjEAE","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" IS=""Commercial""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApkEAE","0055e000003ZErQAAW","","Commercial Guaranty","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8pEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0dEEAQ","","false","a0H5e000001sApkEAE","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" IS=""Commercial""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sAplEAE","0055e000003ZErQAAW","","Borrower Financial Statement","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8qEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0d6EAA","","false","a0H5e000001sAplEAE","false","false","","","","","false","","","","","","","","","false","","","","","false"
"a0H5e000001sApmEAE","0055e000003ZErQAAW","","Borrower Tax Return","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8rEAC","a0V5e000000ZpyMEAS","","a0X5e000000a0d6EAA","","false","a0H5e000001sApmEAE","false","false","","","","","false","","","","","","","","","false","","","","","false"
