"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a2G5e0000005Uu9EAE","0055e000003ZErQAAW","","Collateral-Real Estate","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:01:30.000Z","0055e000003ZErQAAW","","","","","","","false","true","42875581032868363",""
"a2G5e0000005UuBEAU","0055e000003ZErQAAW","","Collateral-Titled","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:01:30.000Z","0055e000003ZErQAAW","","","","","","","false","true","42229309426024690",""
"a2G5e0000005UuCEAU","0055e000003ZErQAAW","","Default Pledged Collateral Edit Screen","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:01:30.000Z","0055e000003ZErQAAW","","","","","","","false","true","42871665770611153",""
